OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,1085,7689,4182,6519,1383,6238,8869,5604,8417,1836,9071,8973,4339,8724,3335,9785,2415,9464,6331,7162
+,7092,8104,7112,4031,6323,1248,3783,7766,6164,244,337,2225,4671,8168,3971,7748,2786,8133,357,1207
+,2244,3616,2505,1447,9529,8479,5931,2235,9598,9987,1970,3367,5212,5463,2207,1764,84,1788,4672,3965
+,6276,8671,3693,7815,4389,297,3175,8962,4692,5584,2594,2993,3791,9296,931,1260,9728,1020,1726,7951
+,1921,7961,8171,8677,3769,5067,9923,6555,9538,7242,9391,466,3685,8910,583,351,6276,7019,4756,9205
+,9095,675,4214,2484,7847,9824,4103,706,2807,1438,4663,3407,9484,6180,886,7802,9784,6536,7140,7720
+,5814,4179,4642,2344,8156,3676,5896,7128,9156,6293,4372,1445,3616,3484,1025,5981,4537,8819,3375,7704
+,9431,5662,2204,4145,1301,2551,3086,5801,6016,1130,7494,5594,2192,7290,6111,9780,5116,6286,8181,67
+,8958,3764,2305,6786,3401,2457,6938,1455,9796,7435,1893,3710,2124,7018,1340,4639,1660,4699,6429,9539
+,4708,3472,2524,5507,3066,529,1178,9597,1513,3792,9166,7824,1522,5431,2774,620,8802,6228,4198,8357
+,2950,9161,7813,9304,9386,8658,4148,2347,3728,128,4119,7688,7222,4674,4218,3344,6994,5742,6733,1748
+,7562,5471,4016,6864,2104,9755,4645,4815,6646,8522,6280,5158,9570,4092,6193,9997,2838,8396,8959,2729
+,553,3237,9483,8768,697,7825,3349,2989,6043,796,8273,3737,8479,52,7630,7514,6628,3555,7065,3079
+,6366,2845,3671,1204,3066,8255,7525,107,9476,1664,6003,2824,9657,1125,1799,1033,9602,1343,6218,2299
+,4903,2205,4390,1350,6378,3673,6078,962,4376,8951,2027,2916,6231,1723,2341,5347,1022,2833,3247,1127
-,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9564,8309,798,3599,3369,3007,5766,9185,2782,6208,5519,6898,9058,4676,8942,385,6857,7610,5539,7571
+,5506,629,445,2474,7293,1498,5769,5019,2448,9930,3709,9322,8155,7628,6928,3020,499,3476,3,9486
+,4942,6031,5339,7005,3664,4658,2442,8558,5221,3161,1363,7307,7710,583,10000,364,3135,9006,1028,6784
+,625,9932,1518,7745,179,2167,6396,469,7049,7870,134,2717,6685,1706,7262,8077,5659,4276,8669,8162
+,9782,1233,4289,2257,7770,9058,7948,5749,8166,9604,5722,3348,4993,4585,2323,3391,9781,1863,1925,5319
+,5341,6257,8154,7113,5273,5882,2315,4203,8955,75,6230,6302,9972,670,5045,3423,8886,4573,7759,7234
-,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7500,3094,2698,4242,3962,9296,6310,9085,300,5507,8460,3955,4995,4036,1608,5645,4119,3399,7997,7388
+,8193,8465,2065,1132,624,9056,2782,9769,7304,9781,8702,9165,5558,4650,3900,715,6769,9698,4568,8646
+,6725,939,512,7852,218,5667,2438,9487,7128,9020,359,5939,2700,2716,8805,9361,4049,2386,6358,4993
+,8962,7593,245,3828,9889,7317,9537,4185,9803,8108,493,9270,4159,5187,7154,4511,7853,8288,876,9040
-,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7365,3479,5200,4940,6987,4375,7727,1859,4173,9659,9527,98,2494,9241,1782,1154,4709,9344,2483,2771
+,7233,6256,4310,1481,9981,1831,5117,5123,4552,2167,6663,9549,2565,1972,4164,9015,2626,9397,9254,9342
+,75,802,2265,5988,9881,8257,3560,2622,3160,7577,1749,985,2159,2264,3785,1909,1770,4822,9879,2410
+,5783,2165,5049,608,9040,7250,392,4831,4692,6459,5029,5032,3795,7441,5760,5304,6742,8459,8979,2554
+,1319,8803,5545,1989,3363,4324,464,6618,2776,4098,6070,3987,2366,2033,3129,1817,8076,3025,3786,5747
+,4814,2366,5061,5284,5629,6771,7899,4992,9441,7226,3584,1847,466,4010,9454,7484,2070,223,2030,9997
+,9574,9,5077,2139,1211,4061,9917,6761,673,3405,306,8989,1327,5513,7938,1439,993,1061,5695,7529
+,7338,4275,3768,2611,2114,7447,7054,4668,117,9247,8223,6695,7054,6577,174,3074,9967,8380,9714,703
+,1250,3812,2408,982,2393,9498,6988,9990,567,6298,5367,3118,8013,5551,7833,9462,2781,5571,8877,1842
+,2056,2092,1756,5952,4729,1765,1102,9950,7063,5589,5414,5369,8944,8235,3947,8258,8597,5209,7650,4196
-,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1570,3800,148,5019,9434,8538,5934,3704,7556,7843,3381,9964,4345,7058,5143,6665,1812,8733,5268,5888
+,7700,3325,7630,3210,7938,5086,9214,9863,2205,1700,1036,4528,5206,6458,5889,724,6148,5575,6866,7534
+,8797,7624,8260,897,7054,5757,1300,8126,1828,5400,9858,1711,6264,6096,6435,4649,4943,4206,9160,9041
+,4960,2148,6880,8869,706,5374,5807,5937,3334,471,7160,3833,4591,1927,8577,5033,2626,5980,890,1512
+,3158,2155,2338,7633,1553,6846,7939,379,7367,7659,4874,9734,4266,502,9059,487,4507,358,8932,6548
+,646,6162,324,4205,2292,3503,1483,2069,9757,3119,6248,3967,3122,4573,4174,4101,338,7568,3411,8557
+,1998,8210,7105,6069,2542,8465,5939,5702,4408,6744,7074,8059,8694,6986,9414,3247,2462,5530,4859,5175
+,2794,3590,2317,4518,2477,2197,8712,2567,6766,3190,3064,3758,1313,8258,170,1366,4450,4450,3069,9534
+,7846,3351,7470,7733,4689,5768,684,1665,6846,4923,1187,1945,9971,8975,7178,8098,1971,7485,1486,1719
+,9294,8316,8892,9745,7906,1135,2136,8062,3506,4725,5975,8786,4035,3142,8936,9612,2123,5545,1138,2731
+,7313,8011,3913,9588,205,491,9830,4771,4763,5906,7410,4584,9760,8489,2636,4608,4698,4095,8972,6601
+,1783,7111,5678,5368,1223,6040,6134,8305,4044,883,435,2584,667,544,7911,2377,3870,6167,6524,8082
+,8675,5236,3451,4820,4442,9794,7438,8131,1755,7384,6783,8278,3865,3086,8548,6692,5675,1019,2792,4374
+,8957,1202,1965,6542,5048,6651,6456,2078,3924,565,2890,6008,1444,67,770,9825,7685,2135,8909,2150
+,314,1880,4390,9054,8194,2150,4290,399,9278,3304,1294,7605,7327,3440,4901,4403,5207,3322,6585,1727
+,7906,704,1857,5186,8101,7857,7909,9512,8627,6099,4707,3385,8501,2413,4180,984,9258,5577,1182,8532
+,1776,6205,9327,9089,6256,1426,837,2724,301,525,1136,8473,9918,2304,9831,2054,9080,4054,8479,5104
+,2286,6025,6466,6519,2727,8194,6852,6648,8025,1929,6322,6774,3502,9778,1724,2228,6298,7616,7576,3729
+,9078,6468,2974,951,3297,4230,4947,8585,5975,774,44,5554,2991,4081,3408,3998,4521,5864,575,442
-,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6283,2451,5263,8187,7566,8317,9875,8726,9395,5942,3088,5485,6710,324,5684,7519,8854,1631,1819,8266
+,6102,2979,1472,7365,7485,5809,749,4609,130,5826,6969,1864,8084,3269,8257,738,6476,7381,9253,5596
+,2150,1136,9721,6574,4876,7765,3392,6577,1318,5877,5180,9415,8754,1559,6465,3093,9921,2424,2457,6359
+,466,7399,4317,645,8874,8995,8679,8484,6698,4685,2396,9752,1524,3466,877,2912,6006,8181,8298,2041
+,2057,5447,8799,3154,670,5999,536,6293,3964,6067,416,8352,218,112,3483,2289,842,5418,3918,1077
-,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,506,6553,3400,6393,2580,4175,2418,7778,6575,4469,5420,4672,2493,5910,3965,4984,5699,3804,9657,7865
+,7124,7869,1833,4039,6110,266,1016,4435,3696,8821,4466,2933,7029,934,3158,6225,849,4096,1153,9250
+,2172,3500,8575,6233,4593,9903,3956,5110,413,6368,8342,5466,3746,8685,9853,221,5669,1180,5453,1534
+,4019,2299,2603,9388,3983,8475,2432,979,5,8767,2330,9245,7873,9095,2554,6340,8294,8878,1569,8229
+,8245,4406,8331,9337,3402,1597,174,4090,5810,6072,2867,1162,8651,1843,9135,9271,3335,3997,9855,2058
+,7327,1228,2074,7542,4462,3924,7447,5980,8731,5141,3310,9584,7317,9993,9401,7236,2357,9007,6235,1572
+,9086,5013,5740,3077,4047,9575,7680,9337,6863,3376,8521,6278,2643,1043,3327,6142,6345,6281,1121,2522
+,2398,9344,2476,7599,9945,7292,4198,6968,9409,2684,8570,7745,6452,1917,2024,5913,9297,9902,91,1183
+,8617,1970,3394,9718,2650,9661,2172,3398,1763,4506,9817,9941,7055,6822,6213,1173,6846,6101,707,5670
+,4236,3104,6246,1831,1780,2221,9219,2531,6504,911,712,2420,1413,9507,6824,1447,7787,1838,8205,4507
+,1024,867,126,46,740,4587,1457,2896,2635,9626,5851,5818,5302,1347,9348,3306,3320,1007,3584,6496
+,101,2540,1251,1118,854,4540,6318,1555,3265,2751,8636,8351,1834,4249,3103,1954,7582,3032,1924,7607
+,6999,743,1580,4319,7981,3107,7172,3285,9684,4024,8015,8239,8579,2962,1507,4673,8389,5694,8748,5188
-,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5340,8267,8817,5067,4825,1328,9400,2571,881,8007,504,8035,7224,6022,3854,5577,7296,4115,4913,9800
+,6396,9228,6558,9548,5371,3415,6696,5027,1572,2407,5435,8590,7654,8621,7133,3076,980,5556,6723,8799
+,1684,8569,8293,8349,4358,7315,6095,1011,4789,3591,9778,3037,8424,7410,144,5823,2124,6586,910,3474
+,5278,3120,2921,6175,223,8256,7758,79,4805,5552,4869,9014,5222,7140,6482,6011,5034,3170,4089,2971
+,5583,5893,2874,3275,4910,3816,9396,7935,3987,9676,6148,622,6022,6835,3360,2605,4888,8700,9723,2071
-,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1350,4667,8894,906,7817,1910,5790,728,7899,9867,365,8193,9285,9911,2568,3339,3966,4827,4526,4102
+,8978,7965,6994,290,8525,8873,7074,2047,7199,1042,6899,7392,6002,6432,6220,1995,9572,4358,4390,430
+,5520,5013,6112,6988,6946,1215,9174,2188,5189,7913,7590,1309,9958,4978,6947,5357,7778,2362,600,3220
+,3713,2388,4728,491,8320,4213,8191,9324,8343,5948,9285,3897,8577,5196,5441,4434,2236,9365,1610,9765
+,4080,9889,3935,9519,4688,3418,1241,5659,5558,7571,3777,2373,4829,2161,1109,2255,4761,5685,9595,6409
+,5817,4587,8413,492,3444,9954,1485,4474,3268,6619,870,721,2224,8065,802,3102,1301,6682,6819,7836
-,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7543,7662,3481,3415,396,7535,3981,4745,6553,2683,9957,8346,8300,4726,7105,3383,9513,7365,6011,3666
+,8933,3311,7168,1928,6206,9696,4521,1087,7016,6869,8024,6787,7679,241,9948,498,4064,9999,9823,5419
+,6432,5137,9554,8940,4175,4936,6634,1626,4324,962,9522,6264,8891,6226,8220,1609,7892,3180,4112,7558
+,1219,7390,4296,2065,7006,1917,1933,9353,7562,4481,8348,9906,8234,3268,4482,1153,7889,9818,2036,5181
+,3098,8564,5275,9074,6351,3063,8312,5069,5525,268,181,2451,5016,3984,2287,9510,7604,5531,6332,5858
+,837,4801,4892,5405,5526,6630,580,3023,1565,242,4605,3421,1223,4358,2255,3629,9229,9877,607,7103
+,9874,3088,4153,7921,4003,451,3534,2826,2612,2128,6108,5532,6588,6667,1356,6040,2615,8858,7511,8300
+,5794,6374,989,5992,3373,4397,4045,9465,8700,3723,9800,1836,1440,2643,9546,8398,919,3098,6732,7475
-,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6693,8622,7345,5215,9999,9924,595,8669,687,9106,6877,5863,246,2423,3390,6188,5424,4879,3470,5146
+,1397,4357,3718,285,9362,5008,2898,2378,456,7800,7673,5683,1335,2018,6761,7435,5693,3117,5001,3438
+,7362,5618,2660,6025,8878,1437,2249,7405,3228,1500,8064,4165,1117,9074,481,884,4032,3519,4395,1847
-,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6876,9455,1875,979,494,5746,3037,1629,931,1185,4808,7603,3262,9400,3902,4979,789,4116,2104,6115
+,4865,3606,6832,7240,7994,1911,2182,2613,8229,3384,7301,4617,8793,4005,5685,1717,4704,1782,3918,3426
+,5407,8554,2774,4618,6400,6094,1196,3728,5386,6980,774,5160,9886,6750,3591,7248,457,3826,7027,1518
+,7220,3135,9508,3086,8471,592,9559,1699,954,3303,8711,8449,4955,1284,7175,6618,9463,5784,6769,8109
+,1118,9611,4345,46,9250,7472,317,342,6214,8585,8655,7310,8403,6158,491,2538,923,6147,2165,5360
+,9491,717,8667,6422,427,3260,742,3352,5188,5977,6903,3773,2853,4093,5776,2975,3560,548,2703,8905
+,2365,6755,2538,4297,1420,8071,5531,741,4286,8798,9991,1291,7055,450,965,6518,9831,5561,3294,3705
+,356,4867,268,6594,8805,3119,4554,770,4711,51,1208,7119,1619,180,5616,6772,5394,3012,9083,8468
+,764,1676,885,3338,1484,6484,9344,3788,5123,5116,6671,6784,6433,830,7571,3691,2137,403,9555,5923
+,9335,2839,7825,8277,3260,4160,7599,7689,6901,3707,8263,9565,8794,889,9397,2838,4219,8228,4525,7819
+,7675,441,4236,1366,1137,1975,1363,7659,1373,3146,4081,274,9692,2810,2622,3117,7682,1481,6364,7380
+,9248,2928,6212,8087,5972,2961,2790,6266,1923,2193,3785,4847,8809,2358,4542,48,1266,7736,7491,5045
+,8591,1084,8694,1115,1411,5837,4782,4694,5344,8733,9130,8214,6607,352,1278,1996,8846,4474,8927,1319
+,8952,3383,374,9235,164,9711,8794,7412,5431,9689,3794,6148,8367,1958,1731,8429,460,8838,7918,2714
+,4860,8988,3105,7633,3728,5953,6593,8694,4381,1107,1148,1185,3398,958,3855,5822,8732,5107,6800,9902
-,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6942,9803,4231,2726,3690,970,1410,9480,2054,1241,372,7462,3097,216,5359,2767,4546,5455,8990,7411
-,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5165,1176,4167,4729,807,9886,8888,4116,6204,6389,1362,1339,9124,8899,7832,8694,7947,1858,6005,5133
+,8253,2013,6788,6846,6994,1686,6746,6855,6900,6524,3783,9818,9454,6337,802,7460,1997,7845,5870,9681
+,3240,1792,575,6494,8481,8439,8951,5012,2616,9710,494,3021,4197,6738,7964,8359,7692,4819,5556,3442
+,3997,653,844,5398,2019,2422,6838,9144,7855,9103,5003,9790,2491,9083,5634,8315,3952,7704,3169,1334
+,6193,4469,6416,7734,3063,2622,6128,6863,6463,1368,8642,509,5450,140,4827,2852,1878,8862,2513,2130
+,416,2949,7322,1091,3416,2407,1681,2234,8119,6922,4916,8833,8805,6365,5141,4677,4131,1348,9920,2488
+,5844,7705,8766,4012,8147,3866,4747,2855,2945,5739,4945,7569,462,1665,5162,4920,1221,9569,347,67
+,4918,49,6603,6695,3893,2909,3304,7963,4254,4628,4304,1961,7431,674,358,6289,5592,5391,1630,8783
+,7171,6164,4879,1645,3229,5960,6715,5278,2513,2854,7455,6708,2685,5730,792,2390,7000,551,2368,803
-,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,994,43,4703,5291,9130,744,1471,8164,7212,8702,7229,7367,3032,5976,4359,2551,2671,3789,536,1960
+,138,8627,6968,7686,5166,7445,6177,2256,4720,6607,56,9185,8333,8350,9078,2402,5329,7416,716,5068
+,321,7131,516,2779,8678,6639,9682,7640,1834,4157,3378,9769,6215,4553,630,6443,5935,1151,9878,369
+,9705,2103,3027,5101,6504,9237,2595,7193,361,6320,3430,8654,1495,6078,2032,6590,5109,8093,8376,5121
+,3323,6565,6700,8442,1996,9228,8846,5181,5261,5124,8359,3316,8280,7012,9690,7248,5208,4673,7308,9597
+,6811,6986,6958,4327,568,572,9060,424,311,1229,3587,2470,8707,7869,3861,8839,5875,5826,6029,6611
+,8371,813,2283,3484,8142,8071,9604,3075,3585,5024,1608,6212,173,2974,6358,7673,3867,702,2442,201
+,1920,1567,2914,9022,4907,400,5286,7199,4938,2743,5151,5758,1770,8380,6151,3895,3886,6935,710,6524
+,4819,9352,2522,8622,5537,6033,1766,4807,1425,6696,4802,3795,2743,6407,8043,2756,2606,3868,9348,5689
+,9377,5834,9039,6605,854,5544,5532,7284,5439,8820,7728,2924,7353,8321,9686,2586,8334,8615,7847,9055
+,9794,9890,8796,5527,8703,9059,4497,2880,3357,8760,4187,8729,8802,1827,2375,655,467,9685,7570,2786
+,983,3598,2437,3332,7697,5211,4766,3497,2058,8095,2418,9872,6866,5430,6255,6089,7947,4157,1700,1417
+,3658,7227,3073,3495,7908,2052,4823,3962,998,5367,433,6508,4429,633,5020,1681,9744,1589,1216,4876
+,9844,8605,1487,3796,1959,3433,9792,7064,2287,7813,1160,8752,3548,8748,9668,1052,7979,5302,2067,5936
-,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6578,5015,55,3716,7707,5682,3349,1854,5011,2927,8404,511,9746,8916,3577,3737,497,8743,9470,8734
+,6185,410,8149,8760,1358,4048,4893,4653,9570,7082,1013,317,9448,8439,4714,5706,3386,5117,5877,5005
+,1302,5585,3892,2482,8871,2514,9775,1020,5057,2971,7654,8386,6283,6402,1691,4263,5319,3412,8119,3491
+,9939,8653,3941,3869,9643,145,6193,4989,7750,6602,9695,946,8041,9867,5489,7146,467,3611,7373,4896
+,2112,8885,7952,7460,2102,4725,1502,9915,6116,8751,785,7957,1874,3476,7824,8931,3131,8834,8129,5966
-,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6108,1591,7751,8557,4589,107,9319,906,4481,6813,2087,4939,2768,7125,4460,6724,4245,2462,8466,2633
+,7160,706,1165,83,5441,3691,3214,5926,3904,7362,3074,2742,5046,6995,5155,1711,6152,56,7752,5104
-,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3947,6099,3267,3494,7081,8552,534,7426,6383,284,5234,3366,5104,4646,6005,2709,7535,1756,9458,4705
+,738,9859,9836,7503,1691,2463,5865,5638,6624,8171,4722,2815,4648,5879,519,9476,2244,7676,5868,8179
+,2457,1160,2997,6840,9081,8404,912,7906,7928,7953,867,6927,9205,8954,2745,6280,9255,3855,4308,6679
+,2810,966,4424,4335,3575,9537,5237,7726,3422,6035,5143,8183,428,8889,6327,7594,17,5007,6365,6634
+,5483,6257,4249,9262,9078,6317,8784,257,6439,3851,8939,3054,3689,6147,4226,7154,9374,7344,9797,3019
+,5948,391,1209,1505,7129,4576,8970,446,730,8402,9889,1161,8122,1742,8165,4685,5821,6330,5394,621
+,7950,653,8725,151,2140,5240,1126,3951,3825,4792,8652,877,2571,1868,8475,9185,3671,9843,317,191
+,177,2417,2735,2139,3883,9710,5659,3663,2180,3167,7464,7475,3525,2066,253,9686,5852,6635,7333,2793
+,5947,2169,5177,5234,1652,1505,9544,1466,2850,5771,3361,3383,9476,8959,5465,4403,6508,1476,7761,968
+,5876,781,7931,9093,9187,5109,4106,994,3749,9564,2991,1163,2871,7226,979,6944,985,1646,9748,6850
+,9988,9990,3146,7745,8922,9247,255,4972,9748,7260,5178,1363,141,752,2246,7897,5938,2174,7833,1339
+,2387,9790,4242,8247,8890,4194,6855,1779,9344,2549,1759,4838,5711,487,812,6172,337,5050,1226,7765
+,7113,8184,8295,2531,5025,8963,5761,4017,5139,9312,1972,3856,4896,4132,7214,1159,8952,6943,2622,337
+,3081,9081,6686,5629,7969,1260,3921,782,4224,191,92,1830,200,2462,5602,5352,6369,6028,3347,5998
+,5676,5853,8127,6854,4772,4129,9671,8547,8756,7469,8421,558,5436,3759,4288,1343,4020,1342,3791,4832
+,4837,7522,1894,4523,820,4194,2875,7627,890,8042,4973,889,9321,7850,3189,5615,4409,4171,1035,7191
+,6188,9383,3213,9654,8429,3395,6954,5392,9243,9155,4022,2986,3041,8759,3632,9451,5480,8476,1488,9412
+,7366,8881,360,7225,2170,7243,5223,7013,4946,3040,8622,195,343,9611,2476,9793,8081,440,3371,5745
+,6267,7537,8582,2619,3773,4489,296,426,3617,1609,7362,5969,1092,1004,5627,893,2575,8608,339,6155
+,7330,7420,4555,973,8018,7992,6809,9364,6569,1802,8783,3423,4883,4110,2820,6410,4136,3444,2065,9092
+,7081,6290,3777,9116,9098,3400,5593,2018,5810,5052,5656,962,9091,4880,7581,2288,9470,6618,5206,2091
+,6077,8029,8561,5142,3232,4056,5725,1296,5252,1994,3543,8687,148,1400,2135,2207,4419,1005,5026,4357
+,6817,5461,9697,8351,6151,6310,9184,174,2656,380,6407,3332,1604,1048,4024,8264,5343,9609,3458,6623
+,9054,3003,9468,6218,4725,4499,9917,672,7029,1843,1830,6538,7867,6078,2660,6361,3705,1615,9665,1827
+,6704,5168,693,7422,4725,5409,2914,2132,5663,3624,2821,1557,2120,935,2883,573,2750,4949,1339,1850
+,9997,4589,1514,2675,2042,7797,4041,497,9848,2920,6498,81,7280,7343,3031,1126,4570,2769,5566,9404
+,9145,4284,547,4767,1509,7982,4584,1689,2749,1704,1071,7513,3202,4671,3582,5535,5352,6659,3940,6616
-,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2319,2592,6793,8332,1466,6107,9959,7506,2983,9855,1648,2897,7171,4443,2227,9194,3481,1953,6193,4776
+,7557,2688,6346,7931,6905,8062,7495,4700,9139,3386,2956,5981,421,2141,8723,8496,2075,3100,3778,9188
+,4276,295,4104,4736,2267,4134,3735,5322,7693,2433,353,7549,6280,7019,5397,4905,8556,9174,6575,6601
+,2855,4272,9384,1082,7320,8495,8662,1386,5888,4833,3443,2712,678,901,3906,9427,4791,7490,9866,7165
+,8873,288,9117,3844,8173,1262,1607,3691,9121,4210,3333,2561,7514,7144,3948,8041,8049,5095,6630,6589
+,7399,20,3472,5208,6449,282,8666,2523,7925,8253,5158,9914,9580,2675,3183,4304,3333,4104,7324,24
+,4004,7003,1948,6168,5427,5787,9600,4864,5241,3604,9315,6593,7742,7863,7232,9352,8288,405,7606,1879
-,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4777,9112,541,6675,3566,1207,4363,7872,7373,7275,3326,9159,5712,9843,5682,9611,402,1693,8150,4662
+,9930,5015,3662,3379,9771,5670,5730,4128,7653,2976,3868,8933,8265,9913,7966,119,1576,7316,2862,8513
+,1189,8086,9812,9298,134,9191,5948,6551,5236,2443,7877,6531,9548,7477,3773,6920,7221,6290,5108,7276
+,9654,3796,900,345,5166,2222,4701,8597,2520,899,1813,1942,489,1815,5459,5075,5160,7609,4102,9832
+,8890,3846,9187,1825,4925,6687,4793,6352,5001,9220,4282,8068,872,1321,4255,7524,8037,1630,472,1381
+,5113,2877,7255,6049,9014,3227,7008,5376,7823,3099,7316,6574,5832,6270,8227,7433,5880,9856,2379,1164
+,2878,577,3883,2925,492,2344,4303,2782,9305,2071,4632,9474,6967,5875,147,3228,4210,4856,6161,6340
+,7884,1002,1510,2200,8826,7443,6975,8726,4722,7559,2072,2428,7858,6328,5942,2059,997,6257,9858,6759
-,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1483,2929,9792,8324,4135,5674,8881,5207,2149,719,5636,8448,8266,2400,5995,5238,1861,139,4095,276
+,9197,2322,6391,9435,324,6424,1328,2797,1599,7370,2088,8449,3323,7538,6370,5487,8286,7564,591,9215
+,7339,2702,677,7787,580,9169,6462,382,1478,9193,9625,419,7655,2901,345,1755,6766,8943,7997,9675
+,1348,2723,5870,7607,2889,6996,1581,5102,4974,8506,5491,2483,4888,5241,7638,8718,7027,1444,5465,5359
+,1562,6134,2246,2297,6501,4422,3052,8933,7813,3215,8354,7783,4712,8097,5489,745,487,9595,3147,4410
+,1403,8790,9765,5583,8860,4124,958,5636,160,2953,2065,1633,3155,9761,2058,1811,1892,626,3814,7408
-,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4158,9259,913,3220,1854,5411,1795,3367,6945,1850,1583,2416,7331,8778,6869,6459,4795,8684,2505,1425
+,1123,1051,9902,6222,9492,4570,9717,330,6119,7469,7658,6151,566,6977,3995,5070,3976,5420,7035,8069
-,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8570,1351,4853,3222,2290,4830,7808,7444,2010,1854,9408,8530,2902,9308,5472,6567,1679,5866,9275,7829
-,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9244,7462,2048,7517,7190,3838,5813,3002,2962,7834,8516,5886,9177,5865,3121,691,1478,6548,8067,5942
+,4882,633,8885,4643,8582,6397,502,7844,4102,6184,8551,6977,1061,1299,4190,2051,1100,4629,404,3316
-,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6274,8630,4948,5578,903,2077,133,5991,5040,326,9800,5094,4839,3357,2573,4496,15,6798,9571,8670
+,1908,7433,6145,7024,195,7917,2911,8667,4297,8323,3775,9295,3978,2447,2209,3311,9198,6467,8683,9396
+,8252,4833,8727,3288,6421,7907,478,7338,8451,3459,7759,9240,2214,5690,6048,5215,4023,8363,3909,7017
+,2909,838,3649,6746,6348,4217,1662,6420,9399,6554,2733,6342,8109,7794,6176,5323,6263,4364,5738,1621
-,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6237,9479,8513,9486,3831,1611,8569,4155,5091,9888,7563,7129,2157,3905,5551,7421,6472,4171,9696,1669
+,2368,7646,7763,123,1030,9021,4798,3604,6116,9297,7138,2671,8073,4493,3401,7436,6564,5403,7698,8975
+,631,1192,9112,1296,8247,6025,8677,7133,6482,1888,9347,2459,8093,9472,160,1646,7881,2866,9654,4541
+,3553,7493,6332,6507,381,6730,2600,4187,7331,559,1574,826,7621,4553,2103,8321,4791,5009,8704,9617
-,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6827,7525,8755,9080,7360,2735,6937,97,6914,4455,6847,3265,8756,6608,7753,7195,3882,2594,7400,5788
+,6016,6220,6849,2742,1304,8387,5401,3576,6581,1662,9564,2990,3961,1547,303,6534,6290,8407,7253,9354
+,3910,8481,9505,8823,3458,9772,6300,7429,7809,1305,1637,8570,4781,9210,6052,5653,1698,8702,8989,9396
+,4212,1889,6250,165,428,7693,6073,6857,9865,6639,8208,5329,2771,4333,4913,3162,5682,1983,3897,2549
+,235,2113,8528,8012,2383,7534,9063,2528,6684,1491,1577,1685,7903,5210,6214,3265,1865,9144,2288,6282
+,6773,7627,2525,7585,9994,1132,7765,6918,202,5241,9763,7438,7374,3917,339,8764,7746,2700,6609,341
