OP,A1,A2,A3,A4,A5
+,804,9630,3994,6155,3738
+,2701,3110,3712,963,4386
-,455,0,0,0,0
+,483,17,7491,6916,7544
+,3468,3833,6166,9521,7176
+,9368,7212,3663,3600,5225
+,6293,5417,2423,2499,2795
+,3695,9579,5750,9300,1901
+,2351,984,7067,1154,177
+,7645,4104,2419,7195,9245
+,4238,7196,5671,8511,5134
+,8308,5241,5459,2889,9013
+,5482,6653,9464,2159,3979
+,3647,4521,7002,8682,7878
+,6574,5648,6108,5224,3875
+,5552,9951,7418,6789,9492
+,7177,3689,9236,5397,376
+,8065,9703,4729,1351,2958
+,975,1951,201,7868,5563
+,2458,4617,845,3858,2796
+,5515,1426,2762,4631,4034
+,1106,6177,4074,4094,8533
+,5033,5401,8650,3981,5640
+,6819,6774,6003,6422,3182
+,3313,1806,428,1400,1749
+,1658,8133,3309,9286,7958
+,531,8338,9759,5568,727
+,1108,9239,7645,9637,7833
+,8005,4566,6708,3725,3976
+,3226,2732,9930,4489,5352
+,7319,2946,5840,7505,1024
-,802,0,0,0,0
+,174,922,8964,2020,6741
+,4509,6091,7144,1078,1887
+,9645,5609,4106,1939,5833
+,1071,5569,8220,398,1412
+,4875,9909,8874,397,8311
+,7326,1411,7514,3280,600
+,5887,1210,1072,9537,39
+,1072,7988,7055,2050,6777
+,4616,2530,5141,8685,1789
-,906,0,0,0,0
+,249,8112,9408,8934,4234
+,861,7180,8458,6370,7243
+,6062,9976,4951,7195,1886
+,9408,65,4208,6785,8129
+,2008,3393,3579,7415,8702
+,4043,4376,9070,2240,7478
+,8742,8674,7731,719,4433
+,7086,7447,7916,8366,1056
+,4692,597,3041,504,9805
+,1703,8176,249,5153,6004
+,1949,107,3502,6824,9522
+,1089,9445,6779,1530,3420
-,157,0,0,0,0
+,738,2547,6686,1887,1848
+,8200,719,5498,1478,3456
+,1057,7060,8572,2565,939
+,9863,2004,9464,9138,3079
+,5973,3187,2359,4308,4543
+,9399,3894,5452,6144,5475
+,2845,914,3747,6260,8304
+,7234,4591,725,5756,5339
+,3209,9400,2295,4510,6903
+,9705,1904,9067,2091,291
-,459,0,0,0,0
+,3739,8236,2525,4015,2078
+,4611,4459,6296,6746,2342
+,8702,8805,6524,2689,5375
-,682,0,0,0,0
+,5042,1231,6800,2326,7241
+,8942,6780,5693,3578,1352
+,1778,3122,1074,8708,8723
+,9039,3501,8474,1581,6506
+,5530,1875,7278,5294,7915
+,8476,3813,4743,5881,1945
-,368,0,0,0,0
-,29,0,0,0,0
+,8068,7515,1353,8401,2966
+,7842,3081,6949,6011,5613
+,2135,4694,2205,2370,5490
+,5255,5317,2588,3668,8755
+,724,7074,6015,4161,648
+,865,943,9351,8801,8541
+,582,8470,8472,460,513
+,1287,3405,5961,4598,4703
+,164,6707,368,7739,7155
-,538,0,0,0,0
+,8022,276,818,7652,8572
+,1083,4175,8840,2141,268
+,8163,6832,7887,4527,5580
-,376,0,0,0,0
-,598,0,0,0,0
+,7411,2254,6901,4882,9085
+,2619,3623,3588,6591,5322
-,165,0,0,0,0
+,8260,9871,1999,7813,2531
+,8910,261,5633,1643,1539
+,5200,2528,9982,6593,3506
+,7367,8479,4862,6487,7357
+,1024,3410,5431,8699,9807
+,8169,2225,6590,9785,8651
+,7745,4165,7550,2853,8355
+,9597,8164,246,3504,6535
+,7856,7880,7740,1964,779
+,1835,8103,4732,1850,8628
+,3115,7934,7212,2171,4653
+,7773,9146,759,5243,372
-,61,0,0,0,0
+,1158,6735,638,839,3711
+,1860,668,1813,2217,8177
+,4848,1386,3498,5464,1664
+,5316,8100,4404,5194,5191
-,748,0,0,0,0
+,4970,3023,6249,7955,3939
+,970,2719,1173,3632,9547
+,3924,7136,1237,3466,1809
+,5986,9045,8430,4516,1978
+,9406,657,8437,174,685
+,3033,8836,7419,4120,1644
+,3399,651,3189,7569,6339
+,8503,1512,3663,7590,5836
+,5676,4700,4675,610,700
+,5358,5155,7783,8800,3785
+,6729,9690,30,4525,579
+,811,3622,2121,653,5657
+,4806,5172,1496,6480,7762
+,4845,6453,5316,6681,1369
-,577,0,0,0,0
+,1773,9567,4296,8200,6849
+,2422,9651,5726,1354,9490
+,2128,275,1800,1182,8361
+,8272,832,6276,6831,4726
+,7291,7461,8513,8264,1136
+,4454,3560,3158,8093,6969
+,6864,2672,5133,7898,3664
+,2862,2020,9359,463,8112
+,6968,4444,1750,8052,7399
+,9618,2388,4611,5806,4250
+,2276,9163,8501,5001,3893
-,166,0,0,0,0
-,320,0,0,0,0
+,1103,9922,7442,2109,3459
+,596,3977,8841,7247,7584
+,1728,9797,2685,8683,5087
+,6076,8921,814,7543,2229
+,527,5103,8944,4459,6930
+,4824,8273,1945,5162,3754
+,1803,2369,2329,4380,3515
+,9165,5199,326,4496,6817
+,8812,9808,2055,3920,9753
+,9498,60,8972,584,4835
+,7862,5529,7785,4647,7358
+,3908,9667,5063,4874,4164
+,6505,6918,8678,3756,6005
+,5452,8071,9368,8207,1594
-,869,0,0,0,0
+,2613,7549,4095,8249,48
-,611,0,0,0,0
+,845,2938,63,4373,2398
+,5360,9831,3622,385,1278
+,7064,3771,6557,609,8685
+,1397,3944,5052,8653,8635
+,6979,6579,6989,957,2641
+,8313,6644,3332,5260,4487
+,2711,9691,40,4008,3249
+,7698,2282,4349,2621,6748
+,2298,5729,5659,3814,612
+,2530,2491,5618,9781,2582
+,834,9536,5794,1876,3871
+,8996,3714,2834,7930,6771
+,2382,3143,1310,8183,7942
+,5868,1083,5649,5405,7775
+,7891,6586,9539,1830,5561
+,8206,4644,6833,1999,1558
+,324,8257,2036,1785,2147
+,8290,9679,511,102,3526
+,6699,8193,9451,3142,9970
+,714,9462,8710,8318,8025
+,7870,3478,1820,7727,5193
+,7009,1582,7430,4196,1686
+,9022,1437,9387,2384,7583
+,2207,1501,1730,5552,6808
+,4906,3590,705,4741,7519
+,8589,6257,292,4240,6111
+,4508,2197,5133,8341,4056
+,883,5864,9148,1740,1377
+,2494,7551,8447,3339,2611
+,9773,2143,2558,7964,9082
+,9553,5341,647,1286,4554
+,3438,6198,9474,6435,6539
+,7445,1152,3345,8324,8715
+,3511,3766,2791,1948,1893
+,6689,6271,9027,9739,5139
-,879,0,0,0,0
-,800,0,0,0,0
+,1550,2684,1570,8489,9089
+,1941,4994,5902,9996,9710
+,3359,8747,14,3021,4434
+,4916,5720,308,7199,4978
+,4244,9530,7948,5427,8563
-,314,0,0,0,0
+,8985,4591,3627,7183,6368
+,7404,3435,8059,9815,4743
+,8346,5228,7535,2300,7047
-,259,0,0,0,0
+,2961,1339,5090,5913,9057
+,7517,3503,1304,127,2215
+,6908,1888,2136,728,9629
+,2506,4844,6901,7598,9992
+,9646,6070,583,3685,1545
+,3680,8246,9534,5793,220
+,2129,1053,128,4946,1947
+,5798,8964,5013,9296,8542
+,2866,3750,5614,2332,2924
+,8370,6525,3616,3779,7736
+,2491,1057,3400,2884,4596
+,462,3504,6737,7289,4250
+,4033,8390,224,5851,6605
+,7097,4218,2071,7374,7419
+,8019,4792,3121,8387,6425
+,727,7893,9138,520,4912
+,4315,3115,2089,717,3567
-,416,0,0,0,0
+,3413,3351,2954,9642,2561
+,7679,560,842,1131,1022
+,7806,4606,4488,7304,6041
+,3829,7983,5576,4376,1481
+,5565,1512,8392,7955,3346
+,934,5966,5640,4109,6386
-,817,0,0,0,0
+,6730,8081,6074,4763,7417
+,392,5850,6303,3399,4380
+,9197,9361,1998,20,7574
+,9681,8879,5169,8638,7345
+,6584,4298,2723,1872,2167
+,8492,2652,4128,8914,9665
+,7087,6716,8828,69,6775
+,235,6018,4884,3660,2812
-,650,0,0,0,0
+,7951,3912,7031,6423,5809
-,683,0,0,0,0
+,3152,1553,575,6257,2493
+,9652,3589,41,4659,2839
+,2881,3831,991,628,5226
+,9143,3285,6244,507,1174
+,5002,7206,7821,2582,7902
+,8275,639,6270,6320,6249
+,2470,964,8004,7227,5782
+,4658,3386,2188,9522,1774
+,2154,1934,9664,3449,5079
-,213,0,0,0,0
+,2850,2820,1786,4583,7515
+,7938,7090,6956,8957,5883
+,7821,9096,7117,1523,6841
+,5423,5255,5343,2084,9004
+,3315,3683,3973,152,2683
+,940,5546,8125,9601,8727
+,7376,5261,9896,5889,5116
+,2099,8172,117,8235,1908
+,2588,5680,8830,3503,7718
-,953,0,0,0,0
+,317,8192,9350,4084,7778
+,4260,7318,2723,4041,6886
+,2572,7354,529,4410,5970
+,7829,7055,3578,4438,2907
+,5725,7166,6456,5653,9759
-,747,0,0,0,0
+,9232,3690,9587,6923,2800
+,2857,8346,4163,1702,5883
+,361,1685,9161,6915,286
-,596,0,0,0,0
+,2216,4971,4911,9399,9793
+,7152,4203,7580,947,8037
+,3506,2842,8545,1076,6457
+,4018,4615,3174,6486,3008
+,8312,6274,4574,572,2860
+,1908,6124,9814,6771,5684
+,116,8105,8494,2103,5592
+,9402,5566,6201,7755,5740
-,88,0,0,0,0
+,864,903,7370,5162,4629
+,7815,6548,2149,7040,4921
+,835,1597,4198,4586,2678
+,4379,4632,6379,9188,3681
+,5032,1070,4914,4676,8793
+,2715,5942,2627,9647,5484
+,7424,4413,4187,3097,3702
+,7057,9623,9815,2981,5695
+,1783,7898,8587,125,3288
-,924,0,0,0,0
+,3835,7620,2285,633,8562
+,6018,4078,2979,8566,8130
-,45,0,0,0,0
+,4725,6888,6427,5991,3160
-,614,0,0,0,0
+,9386,7737,2725,2398,6781
+,8584,7960,8213,6411,8235
+,8876,7502,3915,645,8535
+,6304,3279,2501,7259,8508
+,1492,6828,1578,5031,1544
+,7429,9802,9306,5414,2476
+,9389,5952,1864,8049,4310
+,9941,3207,2226,8683,4810
+,4078,4697,8209,6165,2797
+,5085,1908,4103,6766,9378
+,7593,8860,5613,2003,983
+,3637,2053,3823,4802,7639
+,1811,8724,2727,3897,9232
+,7946,6935,4859,4793,3540
+,6774,2979,1249,3473,9376
+,1408,5958,1766,9825,1289
+,3480,5423,2382,5699,614
+,9162,6112,3699,9417,4321
+,4788,5711,7763,2469,5080
+,145,15,9052,2627,7800
-,146,0,0,0,0
+,5628,2313,9702,5481,9364
-,823,0,0,0,0
+,885,379,9296,6642,22
+,6194,7643,9224,1755,3983
+,4905,4781,2316,1399,5841
+,882,7648,1118,9275,8835
+,7361,6548,554,4403,4695
+,5127,1337,3426,8639,2622
+,937,3450,9718,6665,8360
+,7288,7753,9751,4820,1046
+,1252,3687,9514,7279,4130
+,8419,9192,3643,5502,7204
+,6789,4986,9568,2242,1324
+,9757,8991,2456,6448,2207
+,6397,3394,7383,5750,4745
+,4179,1953,5455,3807,1775
-,269,0,0,0,0
-,132,0,0,0,0
+,9724,2716,5497,8342,1489
+,4137,6214,948,7271,7191
+,9912,7341,383,6109,6774
+,2525,1693,6531,2510,5397
+,2964,5695,1135,2938,3077
+,6151,9458,7834,8742,771
+,4257,4704,5131,8892,4875
+,2958,4874,1882,3217,5163
+,54,2974,9316,3761,3875
+,1426,6068,8401,7351,6855
+,3181,46,3272,3216,5474
+,4361,3118,6353,3421,6229
+,439,3817,512,3394,6200
+,3220,7009,1476,9136,6961
+,3263,1856,6981,9131,2557
+,3842,1242,6309,2163,8908
+,4405,7026,5824,1089,9203
+,9486,2108,9243,2700,2625
+,6731,1940,8216,3403,6915
+,7519,2351,5036,2729,3269
+,4440,8164,9785,5830,9486
+,375,3957,198,6612,9924
+,9287,8338,8749,8104,9499
-,787,0,0,0,0
+,1819,5741,6991,2952,323
+,4724,3298,1472,2955,3055
+,7476,7500,5159,863,3227
+,4317,7626,7045,7900,3479
+,190,2944,3051,3836,8304
+,7753,8493,4200,7358,2186
+,4802,7289,7579,8728,2093
+,8462,8814,1497,4459,9081
+,9730,6818,3217,5978,2202
+,8865,1474,1903,2928,5784
-,33,0,0,0,0
+,6445,6124,6640,9116,4790
+,3752,6898,5644,5004,1537
-,523,0,0,0,0
+,1934,1450,4022,5600,2577
-,504,0,0,0,0
+,3269,308,7637,5060,42
+,7582,1007,9245,5365,7565
+,1985,7765,8082,6334,4571
+,9452,8178,76,5365,8172
+,568,2620,3252,4922,797
+,5057,6604,7431,4239,1935
+,5657,1540,4038,2193,595
+,1906,8170,5448,2682,798
+,993,4272,778,5805,9853
+,5181,2090,9159,5475,6793
+,1222,5454,7432,8309,6538
+,9340,4389,8018,6462,8242
+,1152,2919,6951,107,4306
+,5051,1528,9995,9712,6419
+,1825,110,8770,5208,6572
+,3293,6084,2277,2924,2906
+,4762,8266,3043,1536,7245
-,556,0,0,0,0
+,8353,7590,7191,7031,8119
+,7644,7094,1557,9708,4803
+,3848,4356,4911,3601,97
+,3541,484,1058,8213,9221
+,8048,494,4364,9567,5661
+,1629,8045,6666,5749,6436
+,314,9928,9487,7115,9334
+,6654,5793,6422,6947,6787
-,689,0,0,0,0
+,604,2929,9771,8714,9824
+,7320,5459,6641,6656,9618
+,4809,2021,1055,3397,2821
-,466,0,0,0,0
+,7628,2598,9802,8684,8964
+,8677,1065,6393,3319,1633
+,3674,6794,7993,5925,9663
+,4609,991,609,9658,1667
+,4401,3976,1989,2081,888
+,3962,9819,2233,3308,6232
-,739,0,0,0,0
+,3401,4101,8996,3137,9365
+,9284,3802,9243,3984,8317
+,9369,8293,4456,166,3309
+,8578,8560,3787,1043,8548
+,2971,2492,7882,3551,2304
+,4757,1077,2599,7328,8693
-,120,0,0,0,0
+,9608,4113,9988,834,3116
+,4855,2252,9240,9925,6295
+,777,5416,3543,6341,4327
+,7430,7171,7093,1297,6085
-,992,0,0,0,0
+,4433,4157,2699,54,2667
+,2666,1149,5800,1584,91
+,6647,298,1780,1672,179
+,9728,1452,3286,7565,4123
+,7671,2474,2741,1822,4206
+,1131,5405,9788,9240,3593
+,1926,3623,6373,8818,9582
+,4088,2831,4287,4173,122
+,7735,2885,5424,3910,4604
+,8642,7614,5402,7214,5588
+,7588,3292,7299,1950,8436
+,9837,6796,8658,8557,1373
+,6208,3681,9275,9255,100
+,8821,86,3515,5534,1860
+,7211,3202,8321,9516,2859
+,3310,3595,9783,4100,7605
+,3295,2414,3551,6072,2336
+,6889,4152,9663,9753,5381
+,5363,3404,8855,3583,8060
+,6444,7996,4919,8869,3925
+,797,8587,4842,7159,6983
+,9173,3078,7108,5327,8799
+,1075,3641,8212,543,1564
+,1093,3934,6123,8437,7219
+,5286,5027,909,4960,5583
+,908,1210,6466,7495,4474
+,1694,9504,2699,3392,5637
+,7419,6165,946,2786,4149
+,6519,82,9677,1078,9959
-,160,0,0,0,0
+,2435,2112,5611,8328,5211
+,9499,429,6150,3660,5614
+,7957,852,1943,3984,526
+,2477,4395,7241,6356,779
+,7477,5358,5372,8520,5056
+,7832,3779,7458,9670,3549
+,9936,4827,4338,1474,4996
-,202,0,0,0,0
+,2030,1972,2315,2349,4084
+,2341,5834,5566,5746,8222
+,6136,5129,1219,1686,1303
+,7850,5332,7499,4122,8147
+,3199,8922,4260,4051,4903
+,7391,5104,1052,9325,6665
+,6227,951,9885,6925,5029
+,5168,9685,1841,4573,3292
+,3508,4551,6593,8387,139
+,2052,8883,8818,1625,5798
+,6126,1937,1142,4238,6354
-,29,0,0,0,0
+,8460,7332,8376,6597,5659
+,3554,8450,9925,8676,2160
+,2171,8368,1119,6564,3927
+,6019,4746,6418,6453,3736
+,2273,5867,3700,6227,191
+,729,2053,7783,885,2045
+,1436,2096,8783,5137,5362
+,453,9609,7933,1095,3933
+,7566,8591,5988,5517,8343
+,8583,1163,7375,833,7841
+,5602,1742,8225,1269,6884
+,1633,5987,3000,2995,4521
+,8909,3247,2904,2509,4070
+,4629,4018,6830,2579,558
+,8338,4932,7637,1301,2388
-,893,0,0,0,0
+,4239,7508,7203,3140,1083
+,4001,8265,1690,3283,7075
+,4590,1217,8233,2020,1103
+,4800,4033,6696,6526,5560
+,9844,3072,6363,3890,6966
+,6425,4505,6354,6891,6277
+,2015,1998,2264,6838,5682
+,3756,4012,6106,258,9723
+,7730,7294,8828,6695,1906
+,2608,9969,9196,3826,8001
+,1364,6631,7041,625,4516
+,7967,2941,3274,195,467
+,5670,8545,9416,6094,7757
+,5135,9692,7724,2263,9515
+,7899,7401,5120,6563,1179
+,7235,161,8437,3519,7465
+,9070,7256,8566,7668,4222
+,1194,9734,2407,3933,727
+,9942,5088,1195,3138,7398
+,7471,2969,9922,9114,1451
+,2248,6436,2903,5848,3741
+,9097,7067,2175,2881,3631
+,2871,249,9023,5565,2294
+,7617,4303,5304,1199,3084
+,3863,1629,5774,5679,4492
+,9688,7184,5249,8993,8828
+,2923,9319,7049,9257,6457
+,4560,7846,4786,2540,6472
+,1951,4411,8618,1941,6033
+,7619,985,6643,8819,3905
+,2573,6994,6649,6176,2451
+,5690,4441,4628,6589,1597
+,3474,1576,2906,2480,1741
-,767,0,0,0,0
+,6073,1169,2715,8375,4266
+,5861,712,2334,8404,9197
+,2805,8241,9612,6349,1991
+,5103,3390,9822,1495,6629
+,9612,2352,7562,5868,7057
+,2168,3648,442,7195,1792
+,2672,4945,1287,9325,4861
-,631,0,0,0,0
+,210,7565,8798,42,8429
+,854,7195,6593,6592,9843
+,2409,9619,903,7003,2349
+,4441,4665,8697,3558,3468
+,542,5253,6590,8467,1631
+,2693,4593,8430,5130,3454
+,5038,4611,2944,821,7718
+,3719,6066,6666,5762,1383
+,4458,4549,9010,7825,7941
+,2131,325,4680,3959,8687
-,171,0,0,0,0
+,6824,2723,7859,3422,8191
+,1070,6545,3889,5561,8646
+,7544,1323,1538,1193,3790
+,1612,8298,2357,4994,5493
+,6971,6967,4509,3789,7257
+,2436,6121,9133,3610,1141
+,5324,1193,190,6101,3229
+,8782,3563,9107,4059,6738
+,7192,8557,6228,1190,9543
+,4635,7938,162,5390,3801
+,9200,8389,1618,9630,2274
-,303,0,0,0,0
-,884,0,0,0,0
+,1316,8761,7967,490,6760
+,9814,9049,6268,9403,4518
+,9250,3519,4660,5942,9116
+,3305,1967,7409,6928,4170
+,8491,3832,3085,2074,4753
+,9903,3819,7471,7203,1124
+,6406,9913,8715,8268,9028
+,7923,258,7085,7438,3003
+,4022,88,7021,3953,270
+,4534,6833,4387,856,8787
+,5027,7545,2928,2013,8895
+,794,8917,2040,6152,7047
+,4064,165,4209,33,8080
+,9330,4972,631,3892,3168
+,4903,5250,9954,2476,4903
-,380,0,0,0,0
+,3159,3577,247,6766,1852
+,4820,640,1663,1997,1257
+,6031,9127,4613,5315,717
+,6803,8594,3493,9957,2159
+,2819,1656,1662,9193,1124
-,268,0,0,0,0
-,242,0,0,0,0
+,2869,8857,2580,7577,3052
+,8896,8905,6188,2469,4564
+,6148,8641,6662,4024,109
+,6542,4358,6391,5071,1443
-,319,0,0,0,0
+,8572,2325,8379,7810,5378
+,8908,449,5641,3230,8335
+,2356,7424,4786,196,2099
+,9353,5162,2242,2173,1373
+,4229,8999,4041,3645,5639
+,5209,410,8050,7090,5495
+,2967,3858,488,7289,1171
+,7683,5123,5119,4928,622
+,1795,7699,8644,9665,1043
-,283,0,0,0,0
+,2383,3909,8740,2014,9721
+,1215,6213,1343,2611,830
+,9136,8436,3118,2997,3832
+,533,711,472,2604,5965
+,5948,4734,8302,2892,6659
+,3135,5728,5955,4524,8134
+,1235,5718,1942,523,4012
+,3128,3388,1553,6670,1417
+,4041,9400,8017,4325,5443
+,3502,9935,5212,5704,5830
+,4708,5524,1974,2594,8953
+,3035,8823,2096,696,1787
+,560,5976,3980,4403,6592
-,320,0,0,0,0
+,4769,9904,1913,8447,1985
+,6004,9825,7640,1186,8110
+,9479,3962,4071,1883,6727
+,5156,7286,3926,1539,6708
+,1852,4020,4665,8245,8174
+,6361,9347,8285,2969,8601
-,779,0,0,0,0
+,3771,5307,5104,4767,6147
+,1784,2819,4801,8769,9056
+,6738,4219,6387,5986,9342
+,7583,5257,2655,8844,2732
-,804,0,0,0,0
+,6460,1567,5141,8267,1565
+,6772,605,7786,3769,4724
+,8517,392,4670,316,5743
+,1732,3858,7340,6769,131
+,6797,4567,96,7817,1727
+,5605,34,8708,4762,8862
+,5157,1793,7693,3088,9705
+,3789,4908,1758,4543,5482
+,5431,9939,9685,5403,9374
+,6291,5056,3048,6614,2846
+,4040,985,4766,3924,3864
-,553,0,0,0,0
+,4123,6247,8169,2437,4417
+,9732,9500,6139,5491,5021
+,932,7800,3604,5303,4402
+,5548,2432,1394,7968,754
+,4605,7854,1211,9721,7232
+,9146,7586,2142,7977,8962
+,7027,5447,8493,1488,7024
+,5347,7280,7384,6972,6352
+,9482,6143,9663,1296,4400
+,8315,7875,8657,3626,6648
+,9990,6587,8054,2825,5887
+,8916,2883,8564,6491,5981
+,7914,5729,8095,5104,1574
+,7677,2617,2755,3084,8741
+,9008,7809,3948,49,6146
+,3875,3023,2006,4676,3776
+,4741,3994,7495,2809,306
+,2799,49,9914,5999,9840
+,9433,3004,1783,3223,8145
+,1251,1800,894,9106,6251
+,538,2044,6481,3644,631
+,2464,9184,5284,7886,9809
+,6810,6195,6440,8437,2708
+,9572,9622,4326,670,3571
+,6320,2216,5905,6878,4181
+,619,6493,3296,9570,9630
+,3153,307,9556,8001,4103
+,823,8525,3899,5083,8208
+,6520,5546,7775,3542,962
+,5079,1447,4834,9044,1936
+,4138,5830,5484,223,2513
+,9759,3813,5843,9899,7923
-,702,0,0,0,0
+,7238,1201,1937,8584,7606
-,960,0,0,0,0
+,3363,9475,1612,1377,6029
+,9904,4336,284,3162,5125
+,8404,9309,8513,7974,8670
+,1892,8432,3582,922,7390
+,5480,8021,6637,2637,5800
+,9607,5674,9483,1190,1177
-,319,0,0,0,0
+,8120,4998,6980,515,4681
+,6816,8824,8763,1264,3845
+,1651,3445,4869,3081,7422
+,1234,5861,6077,8259,2146
+,4860,1805,5016,555,7742
+,2090,9291,6464,3135,2106
+,8192,1805,8760,4823,2390
+,8846,6748,5273,9324,3342
+,5472,8301,9886,5911,3678
+,8477,6435,8700,1454,7494
-,253,0,0,0,0
+,5302,1355,5068,8535,8334
-,595,0,0,0,0
+,3793,1770,9001,6138,9626
+,8376,7233,4792,88,319
+,1967,2418,7949,3173,6631
+,1354,2945,96,8385,7562
+,7150,4553,7368,8909,7357
+,1462,4583,6069,634,510
+,5905,9842,7219,8432,2107
+,7794,224,2970,4720,4933
+,3036,5107,8534,1144,7197
+,6976,1558,4634,9743,19
+,1780,3621,9805,387,350
+,4797,238,9829,4775,8793
-,295,0,0,0,0
-,806,0,0,0,0
+,816,9744,2933,4300,6382
+,1182,7020,1199,897,9280
+,6799,167,1478,5804,198
+,3828,1584,2584,9074,6923
+,4286,9702,6020,6132,8500
+,2908,5409,5268,3898,8821
+,7783,4782,5703,1435,6074
-,151,0,0,0,0
+,2817,3516,7092,9811,6322
+,3526,7836,8052,2668,4333
-,912,0,0,0,0
+,4892,2165,4003,1032,8599
+,5669,5019,2202,375,343
+,4606,3223,868,5923,5108
+,1074,2196,2731,6343,1747
+,7653,5327,5303,3213,8964
+,5786,5826,7902,6713,4373
+,3728,4108,576,1841,4380
+,2446,3908,2287,4924,7576
+,6742,1953,5638,1218,4977
+,2610,5313,9823,9305,6543
+,288,6361,4363,7814,1236
+,3877,6944,5249,1319,4186
+,1529,4226,1962,600,7816
-,400,0,0,0,0
+,4743,2129,5878,6876,2529
+,8929,1327,1848,6296,755
+,1987,2067,5861,5235,5523
+,1857,4108,5361,6680,4280
+,7988,1682,4451,2518,1472
+,7932,7729,9652,3471,2615
+,7366,9859,5549,4251,5709
+,1648,4400,7222,3394,8576
+,2469,4972,8552,7665,5143
+,5238,1461,6972,4891,7919
+,7215,3739,5893,6011,3663
+,4190,2315,7972,8795,6507
+,500,2498,5249,1429,5828
+,2831,7670,3969,376,5688
+,3142,3673,86,4097,3882
+,1822,8267,4695,7475,4518
+,1400,9746,2715,3192,7075
+,1673,5601,1803,514,1367
+,9784,4444,6559,8128,9652
+,4681,1805,7417,4430,5208
+,5440,8544,5448,6895,8207
+,6454,7983,7540,8851,8663
+,6132,6331,538,1313,8196
+,6251,5257,8362,8392,2381
+,2191,3617,7242,8687,760
+,2635,8943,8557,2465,5081
+,747,8959,4086,7296,6227
+,8982,7371,404,6602,4657
+,1325,2834,7791,9830,7067
+,5900,8430,5668,4144,9517
+,2011,8046,2314,4070,171
+,182,6464,1039,1482,8691
+,5991,1670,5471,4713,3929
+,8472,4750,7380,9131,3410
+,3988,1878,6921,7690,2123
-,504,0,0,0,0
+,1227,6872,9057,835,2286
+,9144,9716,4987,8990,4468
+,3462,9250,5418,7888,8533
-,656,0,0,0,0
+,7845,5818,4936,2143,603
+,2966,7528,469,7018,2062
+,7863,9584,8869,3828,9722
+,5055,2878,9538,7428,9113
-,233,0,0,0,0
+,9611,177,2756,957,5186
+,1804,2782,8001,5533,6135
+,9153,6903,6767,1377,8955
+,8433,3916,1111,3850,2602
+,9624,5912,4076,5062,6589
+,579,3120,6890,4271,2765
+,4326,2000,620,852,1370
+,6704,2673,9228,4388,4278
-,766,0,0,0,0
+,2411,9083,2782,8429,1939
+,65,5311,4062,1638,2493
+,1810,5188,8550,8278,9874
+,5185,3365,604,7484,2479
+,744,3924,3472,7961,6434
+,6362,3493,9492,2440,9386
+,3579,1169,9805,215,7308
+,9470,7535,5664,6788,4347
+,3587,7987,8439,1208,221
-,941,0,0,0,0
+,5581,6538,9088,2462,3329
+,2626,6799,6274,8255,5627
-,570,0,0,0,0
+,7281,1538,4426,8625,6072
+,3325,5505,1294,4697,4856
-,948,0,0,0,0
+,2406,9715,58,4144,6734
+,5338,704,347,928,9231
+,643,7570,1933,1402,9420
+,1160,1292,7846,289,6647
+,3995,3576,9886,5964,4905
+,6104,9022,9172,4628,9595
+,7380,4507,7754,9345,96
+,7175,911,9907,8730,5512
+,8461,1221,4883,9857,4577
+,9537,1584,8903,5544,2168
+,8692,4305,8770,7487,5834
+,1270,1333,9580,2436,1843
-,132,0,0,0,0
+,7408,8704,1712,1938,5476
+,7953,5059,752,1656,1527
+,4188,897,3231,9931,9053
-,348,0,0,0,0
+,2359,8261,6220,4683,3660
+,2705,6638,9144,9659,5055
+,4469,9858,3679,2174,4609
+,1118,268,8149,9659,6224
+,893,6832,7972,5197,7619
+,9275,5738,9414,5481,5038
+,5607,3167,1803,9504,839
+,3870,5884,5871,6287,5698
+,5850,5839,8621,6373,1333
+,5426,8440,5060,1554,1318
+,4489,5896,1403,3597,4924
+,9091,1592,2891,1643,2887
+,480,7017,5112,5204,2485
+,8697,9029,3435,2751,3680
+,986,5391,2473,4483,9429
+,7232,121,5490,249,2033
+,5438,3548,3888,738,480
+,2180,745,3160,6367,8163
-,272,0,0,0,0
+,2461,3335,8393,2212,3396
-,607,0,0,0,0
+,9431,7716,1122,5452,4552
+,9741,2603,1296,6284,9420
+,5700,2535,8862,5195,1516
+,4271,8483,2601,9075,9934
+,9272,9113,9238,4737,1757
+,2399,9871,4101,5128,1321
+,2596,5184,7258,3718,9349
+,1490,548,2039,7785,5088
+,820,2721,1530,5689,2883
